20200304,AZ,,0
20200305,AZ,,0
20200306,AZ,,0
20200307,AZ,,0
20200308,AZ,,0
20200309,AZ,,0
20200310,AZ,,0
20200311,AZ,,0
20200312,AZ,,0
20200313,AZ,0,0
20200314,AZ,0,0
20200315,AZ,0,0
20200316,AZ,0,0
20200317,AZ,0,0
20200318,AZ,0,0
20200319,AZ,0,0
20200320,AZ,0,0
20200321,AZ,1,1
20200322,AZ,2,1
20200323,AZ,2,0
20200324,AZ,5,3
20200325,AZ,6,1
20200326,AZ,8,2
20200327,AZ,13,5
20200328,AZ,15,2
20200329,AZ,17,2
20200330,AZ,20,3
20200331,AZ,24,4
20200401,AZ,29,5
20200402,AZ,32,3
20200403,AZ,41,9
20200404,AZ,52,11
20200405,AZ,64,12
20200406,AZ,65,1
20200407,AZ,73,8
20200408,AZ,80,7
20200409,AZ,89,9
20200410,AZ,97,8
20200411,AZ,108,11
20200412,AZ,115,7
20200413,AZ,122,7
20200414,AZ,131,9
20200415,AZ,142,11
20200416,AZ,150,8
20200417,AZ,169,19
20200418,AZ,177,8
20200419,AZ,184,7
20200420,AZ,187,3
20200421,AZ,208,21
20200422,AZ,229,21
20200423,AZ,249,20
20200424,AZ,266,17
20200425,AZ,266,0
20200426,AZ,275,9
20200427,AZ,275,0
20200428,AZ,293,18
20200429,AZ,304,11
20200430,AZ,320,16
20200501,AZ,330,10
20200502,AZ,348,18
20200503,AZ,362,14
20200504,AZ,362,0
20200505,AZ,395,33
20200506,AZ,426,31
20200507,AZ,450,24
20200508,AZ,517,67
20200509,AZ,532,15
20200510,AZ,536,4
20200511,AZ,542,6
20200512,AZ,562,20
20200513,AZ,594,32
20200514,AZ,624,30
20200515,AZ,651,27
20200516,AZ,679,28
20200517,AZ,680,1
20200518,AZ,686,6
20200519,AZ,704,18
20200520,AZ,747,43
20200521,AZ,763,16
20200522,AZ,775,12
20200523,AZ,799,24
20200524,AZ,800,1
20200525,AZ,806,6
20200526,AZ,807,1
20200527,AZ,831,24
20200528,AZ,857,26
20200529,AZ,885,28
20200530,AZ,903,18
20200531,AZ,906,3
20200601,AZ,917,11
20200602,AZ,941,24
20200603,AZ,981,40
20200604,AZ,996,15
20200605,AZ,1012,16
20200606,AZ,1042,30
20200607,AZ,1044,2
20200608,AZ,1047,3
20200609,AZ,1070,23
20200610,AZ,1095,25
20200611,AZ,1127,32
20200612,AZ,1144,17
20200613,AZ,1183,39
20200614,AZ,1186,3
20200615,AZ,1194,8
20200616,AZ,1219,25
20200617,AZ,1239,20
20200618,AZ,1271,32
20200619,AZ,1312,41
20200620,AZ,1338,26
20200621,AZ,1339,1
20200622,AZ,1342,3
20200623,AZ,1384,42
20200624,AZ,1463,79
20200625,AZ,1490,27
20200626,AZ,1535,45
20200627,AZ,1579,44
20200628,AZ,1588,9
20200629,AZ,1588,0
20200630,AZ,1632,44
20200701,AZ,1720,88
20200702,AZ,1757,37
20200703,AZ,1788,31
20200704,AZ,1805,17
20200705,AZ,1809,4
20200706,AZ,1810,1
20200707,AZ,1927,117
20200708,AZ,1963,36
20200709,AZ,2038,75
20200710,AZ,2082,44
20200711,AZ,2151,69
20200712,AZ,2237,86
20200713,AZ,2245,8
20200714,AZ,2337,92
20200715,AZ,2434,97
20200716,AZ,2492,58
20200717,AZ,2583,91
20200718,AZ,2730,147
20200719,AZ,2761,31
20200720,AZ,2784,23
20200721,AZ,2918,134
20200722,AZ,2974,56
20200723,AZ,3063,89
20200724,AZ,3142,79
20200725,AZ,3286,144
20200726,AZ,3305,19
20200727,AZ,3304,-1
20200728,AZ,3408,104
20200729,AZ,3454,46
20200730,AZ,3626,172
20200731,AZ,3694,68
20200801,AZ,3747,53
20200802,AZ,3765,18
20200803,AZ,3779,14
20200804,AZ,3845,66
20200805,AZ,3932,87
20200806,AZ,4002,70
